region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children
Сахалинская область,0.7657503820753382,-1.5147525151169141,-1.4688006634655693,0.19961052858939188,0.42468936064919016,0.7423761637467483,0.9101246026153431,0.4641224742423521,0.3141142508186294
Свердловская область,0.4751919637078874,-0.6070687661640142,-1.033055726682473,0.2435550874804171,0.8094340776513358,0.39438885449078986,0.7830501137071444,0.35197163360624667,0.3079722980193029
Севастополь,0.3429716174841895,-1.4454562289065318,-0.4725502253114556,0.2435550874804171,0.4099370397343438,0.20297134752386237,0.4913369421738123,0.2756102452995443,0.135864096393433
Северная Осетия - Алания,0.20863345037237035,0.4606796438945588,0.1810314123884562,0.5675136160101697,0.48752536326195295,0.175831458958025,0.5608928268074793,0.4802419651250882,0.4139001539232505
Смоленская область,0.30582727766353734,0.15860639625915818,0.5033120879712504,0.2855458966287848,0.5394385247175724,0.2775578963338101,0.6231756510206035,0.0,0.06232882237241455
Ставропольский край,0.208233628925508,-0.014634319266798375,0.16086409946275979,0.47136584943814797,0.7334391544589087,0.21509123262079477,0.6227584363096845,0.31457035381483456,0.27677202593225614
Тамбовская область,0.30021715751153355,1.5372120902333217,-0.5238023184247906,0.3643113049039751,0.5525199320673673,0.27187802694178664,0.6534167757125671,0.05195266009089938,0.02376204632042933
"Татарстан, республика",0.4467129833715422,-0.16884295618567813,-1.899368285131869,0.3643113049039751,0.7918787871694513,0.4328421444280477,0.7415604057947824,0.39671257765913204,0.30179810385024686
Тверская область,0.295742662085722,0.034653884305375235,-0.3727838805007066,0.2435550874804171,0.5922108505130301,0.2814474423291897,0.6569180506888959,0.12483947515280819,0.14297095359472944
Томская область,0.3206111068581441,-0.8549737900715805,0.2797399421114616,0.2855458966287848,0.5648077708827708,0.3591525814644587,0.5576306405937794,0.2555039368162416,0.28935162486463106
Тульская область,0.33144859518214265,1.136562435453573,-0.7109740012550965,0.2855458966287848,0.6189223649593958,0.34165615472359745,0.6709058922388538,0.05195266009089938,0.00797414097292215
"Тыва, республика",0.06993928937517957,-0.554852550498444,2.4837908619317455,0.47136584943814797,0.3540804967975639,0.15870568041112199,0.1996403647329279,0.9861492679930219,1.0
Тюменская область,0.3663320369212917,-0.7349252942423257,0.12008730656769814,0.3643113049039751,0.6273094911836241,0.46445838330086175,0.7981877062559031,0.5193651341292459,0.42510196514904086
Удмуртская республика,0.2454934610569648,-0.3372036515559745,-0.25288733230225574,0.32574931136717744,0.6230696307707293,0.32088825553344114,0.5508712747156332,0.3049814768278553,0.3854197966110684
Ульяновская область,0.2249702027862961,0.6729605206658018,0.3937623331379392,0.32574931136717744,0.5878756192509307,0.25807851017436345,0.5662306871921228,0.17045375631782494,0.11428218283496827
Хабаровский край,0.5412295143715227,-1.2287833339951943,-0.22951346614622073,0.2435550874804171,0.5997914285948835,0.4256029246799664,0.8152591374000888,0.3701257440309704,0.26405642870079626
"Хакасия, республика",0.2063809678190749,-1.1912071787966065,0.9795454794771702,0.401360667751128,0.4405956868791534,0.34946797287263287,0.5951379149543179,0.3334580125789187,0.458081171128085
Ханты-Мансийский АО - Югра,0.7000371853403271,-2.1203630164344136,-1.2257639043003346,0.19961052858939188,0.6424159792826638,0.7335265679836565,0.7797972933422326,0.5269970729241015,0.5265136983675811
Челябинская область,0.27256177250851277,-0.5982847298838245,-0.09323469675849229,0.2435550874804171,0.770926515750151,0.33058829239933685,0.5890676878444792,0.295293231470633,0.3141142508186294
Чеченская республика,0.22511602673332742,1.9407897571064663,1.2526165141095404,0.8766112560315273,0.620433899383033,0.051273239174415064,0.4282940100880195,0.9999999999999999,0.9931417806367149
Чувашская республика,0.135036914246359,-0.6070687661640142,0.7103075637777612,0.2855458966287848,0.5861426260351463,0.19525171625532334,0.49195004897676675,0.2656111413158333,0.30179810385024686
Чукотский АО,0.997422247021774,-2.0813228551891276,-1.3620426736880642,0.0,0.023151233941618,0.7854065341875027,0.6968420917353741,0.39671257765913204,0.5213887173250851
Ямало-Ненецкий АО,1.0,-2.4317083023655703,-2.7888607335084763,0.19961052858939188,0.44393061005675016,0.992768451574428,0.7889860132270625,0.578744281457081,0.5814620942189497
Ярославская область,0.3340667877486485,0.17471046277283886,-0.7668390775900255,0.2435550874804171,0.5912284331286493,0.34649909013455016,0.6679935883889803,0.17045375631782494,0.17097659305122725
