region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children,part retired
Вологодская область,0.33422877922655125,7.991,2.5494451709255714,0.2435550874804171,0.577618008827711,0.3728523078619044,0.6147720305267832,0.2555039368162416,0.3079722980193029,0.8610287208244536
Воронежская область,0.3838592813119712,9.254,2.1400661634962708,0.401360667751128,0.700314395168222,0.32585036058885164,0.7690942355911137,0.14792477918016594,0.05471597192247746,0.9475797520893643
"Дагестан, республика",0.2953106516213726,9.819,2.6946271807700692,0.7087669238580587,0.7518114132895957,0.14495883392351727,0.6287269831991118,0.7062767224004811,0.675231352380683,0.25119205664617494
Еврейская АО,0.30361511722375845,7.871,3.1612467120315646,0.2435550874804171,0.22572554409422518,0.28749193222306246,0.5741860817889064,0.34276064963595315,0.4195143950760998,0.7337029667564647
Забайкальский край,0.28187156931107094,7.256,3.039749158970765,0.32574931136717744,0.5615750874501606,0.2890513926073255,0.5646102558717079,0.48819867111345233,0.5110712714447421,0.6316493164715635
Ивановская область,0.2646306278340651,7.679,2.617395832834079,0.32574931136717744,0.5508250758919149,0.18199252263219057,0.6078956806780562,0.0768849992476095,0.12152024437443698,0.9475797520893643
"Ингушетия, республика",0.0,11.479,3.4011973816621555,1.0,0.4313648483440955,0.0,0.0,0.8129005699506817,0.811259307967517,0.16495854322401593
Иркутская область,0.29336273113015743,8.661,2.8678989020441064,0.32574931136717744,0.70533378368142,0.4141248928130996,0.5650115179805395,0.447720170891135,0.44719052583501506,0.7296728171813731
Кабардино-Балкарская республика,0.15727745818985284,6.553,3.186352633162641,0.6265726999712982,0.5263959557516309,0.10917706170412833,0.5337794200101467,0.5193651341292459,0.44719052583501506,0.613462431079626
Калининградская область,0.33414778897548825,6.693,2.6026896854443837,0.2855458966287848,0.5535284319375411,0.3654366008452259,0.615729926547063,0.2555039368162416,0.19833087915405656,0.829029693238335
